Year,WDAS_RDAS,Inter_Bank,BDC,Dates,Date_year
1/1/1991,9.22,,10.87,1991-01-01,1991
2/1/1991,9.56,,11.86,1991-02-01,1991
3/1/1991,9.65,,12.04,1991-03-01,1991
4/1/1991,8.84,,12.39,1991-04-01,1991
5/1/1991,9.34,,12.65,1991-05-01,1991
6/1/1991,10.08,,13.28,1991-06-01,1991
7/1/1991,10.9,,14.2,1991-07-01,1991
8/1/1991,11.42,,14.4,1991-08-01,1991
9/1/1991,10.33,,14.21,1991-09-01,1991
10/1/1991,9.88,,15.06,1991-10-01,1991
11/1/1991,9.86,,15.54,1991-11-01,1991
12/1/1991,9.87,,15.65,1991-12-01,1991
1/1/1992,9.59,,16.74,1992-01-01,1992
2/1/1992,10.23,,18.45,1992-02-01,1992
3/1/1992,16.98,,20,1992-03-01,1992
4/1/1992,19.6,,19.82,1992-04-01,1992
5/1/1992,18.55,,19.6,1992-05-01,1992
6/1/1992,18.55,,19.68,1992-06-01,1992
7/1/1992,18.53,,20.02,1992-07-01,1992
8/1/1992,18.57,,20.54,1992-08-01,1992
9/1/1992,19.45,,22.55,1992-09-01,1992
10/1/1992,19.49,,23.26,1992-10-01,1992
11/1/1992,19.55,,23.23,1992-11-01,1992
12/1/1992,19.76,,23.08,1992-12-01,1992
1/1/1993,20.22,,24.86,1993-01-01,1993
2/1/1993,22.11,,27.73,1993-02-01,1993
3/1/1993,24.99,,34,1993-03-01,1993
4/1/1993,22.65,,38.75,1993-04-01,1993
5/1/1993,22,,33.35,1993-05-01,1993
6/1/1993,22,,34.64,1993-06-01,1993
7/1/1993,22,,35.85,1993-07-01,1993
8/1/1993,22,,38.02,1993-08-01,1993
9/1/1993,22,,39.29,1993-09-01,1993
10/1/1993,22,,42.97,1993-10-01,1993
11/1/1993,22,,43.9,1993-11-01,1993
12/1/1993,22,,46.4,1993-12-01,1993
1/1/1994,22,,44.41,1994-01-01,1994
2/1/1994,22,,48.46,1994-02-01,1994
3/1/1994,22,,50.04,1994-03-01,1994
4/1/1994,22,,49.23,1994-04-01,1994
5/1/1994,22,,50.07,1994-05-01,1994
6/1/1994,22,,50.74,1994-06-01,1994
7/1/1994,22,,53.31,1994-07-01,1994
8/1/1994,22,,54.74,1994-08-01,1994
9/1/1994,22,,67.22,1994-09-01,1994
10/1/1994,22,,82.3,1994-10-01,1994
