YEAR,Agriculture_(Total),Agriculture_Crop_Production,Agriculture_Livestock,Agriculture_Forestry,Agriculture_Fishing,Industry_(Total),Industry_Crude_Petroleum_and_Natural_Gas,Industry_Solid_Minerals,Industry_Solid_Minerals_Coal_Mining,Industry_Solid_Minerals_Metal_Ores,Industry_Solid_Minerals_Quarrying_and_Other_Mining,Industry_Manufacturing,Industry_Manufacturing_Oil_Refining,Industry_Manufacturing_Cement,Industry_Manufacturing_Food_Beverage_and_Tobacco,Industry_Manufacturing_Textile_Apparel_and_Footwear,Industry_Manufacturing_Wood_and_Wood_Products,Industry_Manufacturing_Pulp_Paper_and_Paper_Products,Industry_Manufacturing_Chemical_and_Pharmaceautical_Products,Industry_Manufacturing_Non_Metallic_Products,Industry_Manufacturing_Plastic_and_Rubber_Products,Industry_Manufacturing_Electrical_and_Electronics,Industry_Manufacturing_Basic_Metal_Iron_and_Steel,Industry_Manufacturing_Motor_Vehicles_and_Assembly,Industry_Manufacturing_Other_Manufacturing,Construction,Trade,Services_(Total),Services_Transport,Services_Transport_Road_Transport,Services_Transport_Rail_Transport_and_Pipelines,Services_Transport_Water_Transport,Services_Transport_Air_Transport,Services_Transport_Transport_Services,Services_Transport_Post_and_Courier_Services,Services_Information_and_Communication,Services_Information_and_Communication_Tele_and_Inform_Services,Services_Information_and_Communication_Publishing,Services_Info_and_CoM_Motion_Pictures_and_Music,Services_Information_and_Communication_Broadcasting,Services_Utilities,Services_Electricity_Gas_Steam_and_Air_Conditioner,Services_Utilities_Water_Supply_Sewage_and_Waste_Mang,Services_Accomodation_and_Food_Services,Service_Finance_and_Insurance,Service_Finance_and_Insurance_Financial_Institutions,Service_Finance_and_Insurance_Insurance,Services_Real_Estate,Services_Professional_Scientific_and_Technical_Serv,Services_Administrative_and_Support_Services_Business_Services,Services_Public_Administration,Services_Education,Services_Human_Health_and_Social_Services,Services_Arts_Entertainment_and_Recreation,Services_Other_Services,Total_GDP,Date_year
1981,2364373.15,1854764.44,341411.5,77897.99,90299.23,6603250.12,4977416.7,67136.73,21325.68,7862.97,37948.08,1558696.7,36577.19,190943.09,986251.14,151269.65,52941.7,10450.34,10798.73,25551.05,14528.47,1075.51,19083,9392.89,49833.92,851561.61,1770381.46,3668438,264512.65,222110.99,9456.89,5743.79,18657.18,4479.49,4064.31,263409.45,16489.4,1293.93,70652.87,174973.25,18393.65,6162.77,12230.88,53784.58,282170.74,196908.7,85262.04,1063959.81,421381.98,3234.81,807075.54,242555.85,110697.65,4561.07,132700.2,15258004.34,1981
1982,2425960.89,1897078.85,361115.7,73910.25,93856.08,6272828.03,4453093.63,54840.5,10288.71,5870.91,38680.88,1764893.89,38492.03,223847.12,1113223.11,170744.41,59757.52,11795.74,12188.99,28840.55,16398.89,1213.98,21539.79,10602.15,56249.64,679200.42,1846954.23,3760134.76,211891.35,168113.52,10163.79,4662.73,21236.87,4515.52,3198.92,281235.38,16170.41,1304.33,71221.17,192539.46,17174.34,6822,10352.34,50804.26,372267.76,242667.23,129600.53,1074049.33,423670.54,3252.38,825921.69,248219.81,113282.57,4597.76,133767.58,14985078.32,1982
1983,2409081.92,1842704.31,393131.01,75282.78,97963.82,5264881.39,4052977.68,44014.84,9727.5,4822.26,29465.08,1167888.87,27862.76,79268.8,785901.18,120540.29,42186.97,8327.43,8605.05,20360.54,11577.11,857.03,15206.43,7484.79,39710.51,598782.27,1801783.24,3775196.35,178322.31,132241.33,9206.89,7207.65,22526.72,4247.23,2892.49,278786.5,10453.1,1226.84,66989.52,200117.04,22263.13,6560.15,15702.98,42696.03,336896.5,251212.5,85684,1086703.98,481170.73,3693.79,844767.84,253883.77,115867.49,4324.58,125819.69,13849725.17,1983
1984,2303505.42,1759115.15,399685.38,76694.14,68010.74,5621181.44,4559196.21,43078.37,14030.06,3683.94,25364.37,1018906.87,27432.9,49854.59,697633.45,107001.92,37448.78,7392.14,7638.58,18073.76,10276.84,760.77,13498.53,6644.14,35250.46,488143.29,1662300.57,3704124.78,170279.79,127536.08,9422.41,4809.83,22044.65,3480.05,2986.78,253756.74,15311.59,1005.23,54889.09,182550.83,19310.83,6934.55,12376.28,35968.39,267287.62,200951.62,66336,1086931.99,518359.9,3979.28,863613.99,259547.73,118452.41,3543.43,103092.67,13779255.49,1984
1985,2731062.47,2180907.71,428102.85,78082.45,43969.46,6379599.38,4918272.5,44539.09,26189.44,2670.37,15679.28,1416787.79,39078.2,249272.96,836043.9,128231.1,44878.61,8858.74,9154.07,21659.6,12315.76,911.71,16176.64,7962.34,42244.15,336270.79,1727979.4,3779001.01,203571.16,163512.02,6905.17,4092.08,22683.06,3334.81,3044.02,202382.95,18452.43,963.28,52598.4,130368.85,15498.05,7832.67,7665.38,33192.6,254993.44,197368.12,57625.31,1091378.22,602464.66,4624.92,882460.14,265211.69,121037.33,3395.55,98790.3,14953913.05,1985
1986,2986835.38,2427100.66,421627.97,86594.92,51511.83,6234407.31,4825497.52,35247.69,26189.44,623.74,8434.52,1373662.1,19656.33,269464.07,803522.72,123243.05,43132.88,8514.15,8797.99,20817.06,11836.69,876.25,15547.39,7652.62,40600.9,335758.58,1788770.07,3892215.95,180153.29,144758.15,6663.79,3042.92,19113.18,3470.62,3104.63,202891.59,18329.74,1002.51,54740.46,128818.89,13521.65,5117.65,8404,33674.71,303107.42,240186.35,62921.07,1100909.11,650810.59,4996.06,901306.29,270875.65,123622.25,3533.83,102813.51,15237987.29,1986
1987,2891672.33,2329995.84,433433.52,87594.28,40648.69,6135330.33,4704423.43,32805.99,21512.75,2073.92,9219.32,1398100.91,28917.87,229331.12,844501.33,129528.29,45332.61,8948.36,9246.68,21878.71,12440.35,920.93,16340.28,8042.89,42671.5,367003.84,1900938.6,3968983.99,180220.12,146495,4926.72,2852.76,19304.71,3505.32,3135.61,204924.6,18513.77,1012.53,55287.77,130110.52,14428.83,5353.09,9075.74,34166.32,328771.54,259390.23,69381.31,1112486.41,658620.31,5056.01,920152.44,276539.61,126207.17,3569.16,103841.48,15263929.11,1987
1988,3174567.62,2581595.05,444269.94,88907.95,59794.67,6474984.23,4828682.26,28047.35,15526.59,2362.4,10158.35,1618254.62,33060.16,298878.28,953014.79,146171.91,51157.58,10098.17,10434.82,24689.99,14038.86,1039.27,18439.91,9076.35,48154.53,404395.72,2073797.26,4087626.1,180520.22,148253.21,3843.1,3154.57,18542.52,3540.03,3186.79,206974.83,18697.81,1022.55,55835.09,131419.38,15884.24,5395.81,10488.43,34220.38,398174.24,319758.41,78415.83,1123077.56,665199.94,5106.52,938998.58,282203.57,128792.08,3604.5,104869.45,16215370.93,1988
1989,3325947.09,2710674.81,453155.59,67307.31,94809.39,7100757.71,5407009.46,28658.81,15339.53,2409.18,10910.1,1665089.44,43025.1,314582.48,968696.16,148577.09,51999.35,10264.33,10606.52,25096.25,14269.86,1056.37,18743.33,9225.7,48946.89,421214.38,2156748.99,4290007.77,180955.41,151218.56,2828.45,2725.51,17355.6,3592.69,3234.61,210156.89,19070.78,1037.77,56665.68,133382.66,17258.02,5836.14,11421.88,34562.24,539660.77,451834.25,87826.51,1139870.62,675183.8,5183.16,957844.73,287867.53,131377,3658.12,106429.47,17294675.94,1989
1990,3464716.26,2828589.58,462218.99,72613.57,101294.12,8531586.58,6831767.68,29085.34,15526.59,2144.09,11414.65,1670733.56,42517.08,221105.12,1042510.35,159898.6,55961.68,11046.47,11414.73,27008.57,15357.22,1136.86,20171.56,9928.69,52676.62,442274.21,2221451.35,4645604.76,184574.49,154243.1,2885.34,2780.09,17702.17,3664.53,3299.26,214360.46,19451.12,1058.52,57798.79,136052.03,19364.32,6362.84,13001.49,34907.75,785397.02,700677.97,84719.06,1196554.34,688686.33,5286.82,976690.88,293531.49,133961.92,3731.26,108557.67,19305633.16,1990
