Year,All_Items_Monthly_CPI,All_Items_Index_12_Month_Average_CPI,All_Items_Month_on_Month_Change,All_Items_Year_on_Year_change,All_Items_12_Month_average_change,All_Items_less_Farm_Produce_Monthly_CPI,All_Items_less_Farm_Produce_Index_12_Month_Average_CPI,All_Items_less_Farm_Produce_Month_on_Month_change,All_Items_less_Farm_Produce_Year_on_Year_change,All_Items_less_Farm_Produce_12_Month_average_change,Food_Monthly_CPI,Food_Index_12_Month_Average_CPI,Food_Month_on_Month_change,Food_Year_on_Year_change,Food_12_Month_average_change,Dates,Date_year
1/1/1970,0.09,,,14.44,,,,,,,,,,,,1970-01-01,1970
2/1/1970,0.09,,,13.19,,,,,,,,,,,,1970-02-01,1970
3/1/1970,0.09,,,13.04,,,,,,,,,,,,1970-03-01,1970
4/1/1970,0.1,,,15.05,,,,,,,,,,,,1970-04-01,1970
5/1/1970,0.1,,,14.74,,,,,,,,,,,,1970-05-01,1970
6/1/1970,0.09,,,6.12,,,,,,,,,,,,1970-06-01,1970
7/1/1970,0.1,,,13.4,,,,,,,,,,,,1970-07-01,1970
8/1/1970,0.1,,,14.58,,,,,,,,,,,,1970-08-01,1970
9/1/1970,0.1,,,15.46,,,,,,,,,,,,1970-09-01,1970
10/1/1970,0.1,,,13.4,,,,,,,,,,,,1970-10-01,1970
11/1/1970,0.1,,,14.43,,,,,,,,,,,,1970-11-01,1970
12/1/1970,0.1,,,13.13,,,,,,,,,,,,1970-12-01,1970
1/1/1972,0.12,,,11.21,,,,,,,,,,,,1972-01-01,1972
2/1/1972,0.12,,,11.86,,,,,,,,,,,,1972-02-01,1972
3/1/1972,0.12,,,10.83,,,,,,,,,,,,1972-03-01,1972
4/1/1972,0.12,,,7.44,,,,,,,,,,,,1972-04-01,1972
5/1/1972,0.12,,,7.14,,,,,,,,,,,,1972-05-01,1972
6/1/1972,0.12,,,2.29,,,,,,,,,,,,1972-06-01,1972
7/1/1972,0.12,,,-2.96,,,,,,,,,,,,1972-07-01,1972
8/1/1972,0.11,,,-1.56,,,,,,,,,,,,1972-08-01,1972
9/1/1972,0.11,,,-2.34,,,,,,,,,,,,1972-09-01,1972
10/1/1972,0.12,,,6.98,,,,,,,,,,,,1972-10-01,1972
11/1/1972,0.11,,,-3.13,,,,,,,,,,,,1972-11-01,1972
12/1/1972,0.11,,,-3.88,,,,,,,,,,,,1972-12-01,1972
1/1/1973,0.11,,,-2.33,,,,,,,,,,,,1973-01-01,1973
2/1/1973,0.12,,,-0.76,,,,,,,,,,,,1973-02-01,1973
3/1/1973,0.12,,,-1.5,,,,,,,,,,,,1973-03-01,1973
4/1/1973,0.12,,,3.08,,,,,,,,,,,,1973-04-01,1973
5/1/1973,0.12,,,1.48,,,,,,,,,,,,1973-05-01,1973
6/1/1973,0.13,,,4.48,,,,,,,,,,,,1973-06-01,1973
7/1/1973,0.13,,,6.87,,,,,,,,,,,,1973-07-01,1973
8/1/1973,0.12,,,10.32,,,,,,,,,,,,1973-08-01,1973
9/1/1973,0.12,,,8.8,,,,,,,,,,,,1973-09-01,1973
10/1/1973,0.12,,,-1.45,,,,,,,,,,,,1973-10-01,1973
11/1/1973,0.12,,,9.68,,,,,,,,,,,,1973-11-01,1973
12/1/1973,0.13,,,18.55,,,,,,,,,,,,1973-12-01,1973
1/1/1974,0.13,,,16.67,,,,,,,,,,,,1974-01-01,1974
2/1/1974,0.13,,,12.21,,,,,,,,,,,,1974-02-01,1974
3/1/1974,0.13,,,12.98,,,,,,,,,,,,1974-03-01,1974
4/1/1974,0.14,,,15.67,,,,,,,,,,,,1974-04-01,1974
5/1/1974,0.14,,,11.68,,,,,,,,,,,,1974-05-01,1974
6/1/1974,0.14,,,12.14,,,,,,,,,,,,1974-06-01,1974
7/1/1974,0.14,,,11.43,,,,,,,,,,,,1974-07-01,1974
8/1/1974,0.14,,,12.23,,,,,,,,,,,,1974-08-01,1974
9/1/1974,0.14,,,16.18,,,,,,,,,,,,1974-09-01,1974
10/1/1974,0.14,,,14.71,,,,,,,,,,,,1974-10-01,1974
11/1/1974,0.14,,,17.65,,,,,,,,,,,,1974-11-01,1974
12/1/1974,0.14,,,9.52,,,,,,,,,,,,1974-12-01,1974
1/1/1975,0.15,,,16.33,,,,,,,,,,,,1975-01-01,1975
2/1/1975,0.16,,,23.13,,,,,,,,,,,,1975-02-01,1975
3/1/1975,0.17,,,27.7,,,,,,,,,,,,1975-03-01,1975
4/1/1975,0.17,,,24.52,,,,,,,,,,,,1975-04-01,1975
5/1/1975,0.18,,,33.99,,,,,,,,,,,,1975-05-01,1975
6/1/1975,0.19,,,35.67,,,,,,,,,,,,1975-06-01,1975
7/1/1975,0.19,,,37.82,,,,,,,,,,,,1975-07-01,1975
8/1/1975,0.2,,,40.38,,,,,,,,,,,,1975-08-01,1975
9/1/1975,0.2,,,39.24,,,,,,,,,,,,1975-09-01,1975
10/1/1975,0.2,,,41.03,,,,,,,,,,,,1975-10-01,1975
11/1/1975,0.2,,,41.25,,,,,,,,,,,,1975-11-01,1975
12/1/1975,0.21,,,43.48,,,,,,,,,,,,1975-12-01,1975
1/1/1976,0.21,,,39.77,,,,,,,,,,,,1976-01-01,1976
2/1/1976,0.22,,,35.91,,,,,,,,,,,,1976-02-01,1976
3/1/1976,0.22,,,28.04,,,,,,,,,,,,1976-03-01,1976
4/1/1976,0.22,,,26.42,,,,,,,,,,,,1976-04-01,1976
5/1/1976,0.22,,,20,,,,,,,,,,,,1976-05-01,1976
