Year,Savings_Rate,Call_Rate,Prime_Lending_Rate,Maximum_Lending_Rate,Dates,Date_year
1/1/1961,,,,,1961-01-01,1961
2/1/1961,,,,,1961-02-01,1961
3/1/1961,,,,,1961-03-01,1961
4/1/1961,,,,,1961-04-01,1961
5/1/1961,,,6.5,8.5,1961-05-01,1961
6/1/1961,3,,6.5,8.5,1961-06-01,1961
7/1/1961,3,,6.5,8.5,1961-07-01,1961
8/1/1961,3,,8,9.25,1961-08-01,1961
9/1/1961,3,,8,9.25,1961-09-01,1961
10/1/1961,3,,8,9.25,1961-10-01,1961
11/1/1961,3,,8,9.25,1961-11-01,1961
12/1/1961,3,,8,9.25,1961-12-01,1961
1/1/1962,3,,8,9.25,1962-01-01,1962
2/1/1962,3,,8,9.25,1962-02-01,1962
3/1/1962,3,,8,9.25,1962-03-01,1962
4/1/1962,3,,7.5,9,1962-04-01,1962
5/1/1962,3,,7,8.75,1962-05-01,1962
6/1/1962,3,,7,8.75,1962-06-01,1962
7/1/1962,3,,7,8.75,1962-07-01,1962
8/1/1962,3,,7,8.75,1962-08-01,1962
9/1/1962,3,,7,8.75,1962-09-01,1962
10/1/1962,3,,7,8.75,1962-10-01,1962
11/1/1962,3,,7,8.75,1962-11-01,1962
12/1/1962,3,,7,8.75,1962-12-01,1962
1/1/1963,3,,7,8.75,1963-01-01,1963
2/1/1963,3,,7,8.75,1963-02-01,1963
3/1/1963,3,,7,8.75,1963-03-01,1963
4/1/1963,3,,7,8.75,1963-04-01,1963
5/1/1963,3,,7,8.75,1963-05-01,1963
6/1/1963,3,,7,8.75,1963-06-01,1963
7/1/1963,3,,7,8.75,1963-07-01,1963
8/1/1963,3,,7,8.75,1963-08-01,1963
9/1/1963,3,,7,8.75,1963-09-01,1963
10/1/1963,3,,7,8.75,1963-10-01,1963
11/1/1963,3,,7,8.75,1963-11-01,1963
12/1/1963,3,,7,8.75,1963-12-01,1963
1/1/1964,3,,7,8.75,1964-01-01,1964
2/1/1964,3,,7,8.75,1964-02-01,1964
3/1/1964,3,,7,8.75,1964-03-01,1964
4/1/1964,3,,7,8.75,1964-04-01,1964
5/1/1964,3,,7,8.75,1964-05-01,1964
6/1/1964,3,,7,8.75,1964-06-01,1964
7/1/1964,3,,7,8.75,1964-07-01,1964
8/1/1964,3,,7,8.75,1964-08-01,1964
9/1/1964,3,,7,8.75,1964-09-01,1964
10/1/1964,3,,7,8.75,1964-10-01,1964
11/1/1964,3,,7,8.75,1964-11-01,1964
12/1/1964,3,,7.5,8.75,1964-12-01,1964
1/1/1965,3.5,,7.5,8.75,1965-01-01,1965
