Year,Narrow_Money,Money_Supply_M3,Net_Foreign_Assets,Net_Domestic_Credit,Credit_to_Government,Credit_to_Private_Sector,Base_Money,Currency_in_Circulation,Bank_Reserves,Currency_Outside_Banks,Demand_Deposits,Quasi_Money,Net_Domestic_Assets,Credit_To_GovernmentFed,Mirror_Accounts,Other_Assets_Net,Money_Supply_M2,CBN_Bills,Special_Intervention_Reserves,Dates,Dates_year,Date_year
8/1/1993,103647.23,,63771.56,231515.61,84563.83,146951.78,99819.33,56390.23,43429.1,53101.13,50546.1,71986.4,111861.97,,,-119653.64,175633.63,,,1993-08-01,NULL,1993
9/1/1993,100883.48,,61685.12,242332.63,87338.2,154994.44,100507.61,55361.21,45146.4,51650.51,49232.96,75235.8,114434.15,,,-127898.48,176119.28,,,1993-09-01,NULL,1993
10/1/1993,103139.81,,64241.62,240850.52,85225.16,155625.36,99190.65,54976.45,44214.2,50907.25,52232.55,83624.8,122522.98,,,-118327.54,186764.61,,,1993-10-01,NULL,1993
11/1/1993,106314.32,,62183.54,244774.54,85835.15,158939.39,100915.74,56744.24,44171.5,53064.04,53250.28,85276.9,129407.68,,,-115366.86,191591.22,,,1993-11-01,NULL,1993
12/1/1993,118753.4,,63559.13,280657.57,185167.91,95489.66,107059.27,62570.97,44488.3,57845.07,60908.33,79725.8,134919.97,,,-145737.6,198479.2,,,1993-12-01,NULL,1993
1/1/1993,74220.52,,39614.95,171986.77,90299.12,81687.64,77642.96,38709.66,38933.3,35940.76,38279.76,58219.3,92824.89,,,-79161.88,132439.82,,,1993-01-01,NULL,1993
2/1/1993,76569.18,,45742.38,180516.73,78001.97,102514.75,76239.97,38580.37,37659.6,35812.47,40756.7,61390.6,92217.5,,,-88299.23,137959.78,,,1993-02-01,NULL,1993
3/1/1993,82425.75,,46418.28,183437.12,83980.27,99456.86,91160.77,42858.67,48302.1,39172.47,43253.28,64146.1,100153.57,,,-83283.55,146571.85,,,1993-03-01,NULL,1993
4/1/1993,95139.53,,63651.66,203696.81,84521.29,119175.52,94448.21,44622.21,49826,41580.31,53559.22,63971.5,95459.37,,,-108237.44,159111.03,,,1993-04-01,NULL,1993
5/1/1993,88589.16,,59172.4,204013.71,75546.66,128467.05,92761.42,46643.12,46118.3,43747.12,44842.04,64417.2,93833.86,,,-110179.85,153006.36,,,1993-05-01,NULL,1993
6/1/1993,91429.18,,64137.99,205474.23,71209.25,134264.98,93221.16,47850.76,45370.4,44616.46,46812.72,68022.2,95313.39,,,-110160.84,159451.38,,,1993-06-01,NULL,1993
7/1/1993,96050.64,,65430.84,220585.03,72739.94,147845.09,92635.94,50241.24,42394.7,47301.14,48749.5,70886.2,101506,,,-119079.03,166936.84,,,1993-07-01,NULL,1993
1/1/1994,121706.96,,55241.5,300056.73,173401.5,126655.23,102393.43,58864.73,43528.7,54675.83,67031.13,86313.5,152779.06,,,-147277.67,208020.46,,,1994-01-01,NULL,1994
2/1/1994,122581.07,,55171.18,334930.71,206718.18,128212.54,130608.24,57835.14,72773.1,53708.64,68872.44,89129.8,156539.69,,,-178391.02,211710.87,,,1994-02-01,NULL,1994
3/1/1994,118585.49,,55002.14,333968.05,196487.72,137480.33,139615.41,57910.71,81704.7,54731.91,63853.58,89616.3,153199.56,,,-180768.49,208201.79,,,1994-03-01,NULL,1994
4/1/1994,122437.36,,52121.31,351377.97,207459.63,143918.34,137007.22,57812.22,79195,54132.82,68304.54,89006.8,159323.05,,,-192054.92,211444.16,,,1994-04-01,NULL,1994
5/1/1994,129613.29,,51840.44,345425.05,200507.53,144917.52,116648.28,59084.28,57564,54739.08,74874.21,89980.9,167753.75,,,-177671.3,219594.19,,,1994-05-01,NULL,1994
6/1/1994,131551.16,,52324.04,344220.79,200380.57,143840.21,118573.93,59815.73,58758.2,55790.83,75760.33,96713.6,175940.72,,,-168280.07,228264.76,,,1994-06-01,NULL,1994
7/1/1994,129020.16,,50759.51,336021.34,186156.16,149865.18,112946.34,62574.64,50371.7,58657.04,70363.13,95534.5,173795.25,,,-162226.09,224554.66,,,1994-07-01,NULL,1994
8/1/1994,135863.39,,34666.53,361480.23,213501.8,147978.43,135845.82,69640.82,66205,64993.52,70869.88,97187.3,198384.16,,,-163096.07,233050.69,,,1994-08-01,NULL,1994
9/1/1994,142776.94,,34978.21,346953.23,201975.98,144977.25,126961.99,72200.69,54761.3,68182.89,74594.05,100022.3,207821.03,,,-139132.2,242799.24,,,1994-09-01,NULL,1994
10/1/1994,152729.65,,33932.49,350791.46,201061.53,149729.93,116551.95,75934.35,40617.6,71293.75,81435.9,98341,217138.36,,,-133653.1,251070.65,,,1994-10-01,NULL,1994
11/1/1994,160251.47,,35011.69,365523.23,213007.95,152515.28,123402.99,84100.69,39302.3,79358.69,80892.78,97603.3,222843.08,,,-142680.15,257854.77,,,1994-11-01,NULL,1994
12/1/1994,169391.49,,56220.28,439113.79,288113.54,151000.26,151736.84,96166.5,55570.34,90601,78790.49,97553.4,210724.6,,,-228389.19,266944.89,,,1994-12-01,NULL,1994
1/1/1995,173215.37,,64436.54,379294.8,231027.6,148267.19,141727.5,91304.3,50423.2,85052.3,88163.07,101969.5,210748.33,,,-168546.47,275184.87,,,1995-01-01,NULL,1995
2/1/1995,174636.15,,84111.98,379321.12,227096.91,152224.21,173599.79,92529.29,81070.5,86757.39,87878.76,114792,205316.07,,,-174005.05,289428.15,,,1995-02-01,NULL,1995
3/1/1995,158153.66,,105297.76,330855.85,183781.44,147074.42,140885.53,91116.53,49769,86364.43,71789.23,96369.4,149225.29,,,-181630.56,254523.06,,,1995-03-01,NULL,1995
4/1/1995,168931.29,,99444.93,375525.48,210448.84,165076.64,158028.87,92911.67,65117.2,86916.07,82015.23,108940.1,178426.47,,,-197099.01,277871.39,,,1995-04-01,NULL,1995
5/1/1995,158149.64,,99734.72,363195.42,187648.79,175546.63,144202.94,93593.94,50609,86415.44,71734.2,109613.2,168028.13,,,-195167.29,267762.84,,,1995-05-01,NULL,1995
6/1/1995,177099.2,,121273.41,355359.74,175104.63,180255.12,153008.19,93622.69,59385.5,87449.39,89649.82,113569.5,169395.22,,,-185964.52,290668.7,,,1995-06-01,NULL,1995
7/1/1995,167208.05,,124553.44,336354.18,145843.31,190510.87,146112.32,93870.92,52241.4,86888.92,80319.14,116615.5,159270.12,,,-177084.06,283823.55,,,1995-07-01,NULL,1995
8/1/1995,184822.58,,124919.44,342827.45,153430.32,189397.13,146553.19,95052.89,51500.3,88459.19,96363.39,118367.8,178271.04,,,-164556.41,303190.38,,,1995-08-01,NULL,1995
9/1/1995,180965.57,,110984.24,360793.98,167317.32,193476.65,176622.05,95292.85,81329.2,89467.85,91497.73,120947.8,190929.14,,,-169864.84,301913.37,,,1995-09-01,NULL,1995
10/1/1995,179900.79,,125663.38,335578.26,134557.19,201021.06,148508.74,97707.14,50801.6,90682.34,89218.45,120601.2,174838.61,,,-160739.65,300501.99,,,1995-10-01,NULL,1995
11/1/1995,189306.14,,108889.36,353365.86,147517.26,205848.6,154159.58,103582.58,50577,97369.68,91936.46,116154.9,196571.79,,,-156794.07,305461.04,,,1995-11-01,NULL,1995
12/1/1995,201414.47,,108663.01,474361.37,263002.77,211358.6,167693.34,113940.84,53752.5,106843.44,94571.02,117349,210100.45,,,-264260.92,318763.47,,,1995-12-01,NULL,1995
1/1/1996,202196,,107719.14,408136.43,189584.97,218551.45,158178.48,107489.88,50688.6,100396.38,101799.63,122163.9,216640.76,,,-191495.67,324359.9,,,1996-01-01,NULL,1996
2/1/1996,202754.55,,112015.38,320390.05,100761.03,219629.02,173421.27,107522.47,65898.8,99494.27,103260.29,122362.2,213101.37,,,-107288.68,325116.75,,,1996-02-01,NULL,1996
3/1/1996,203313.96,,119129.05,398212.39,180252.06,217960.33,166030.4,106943.5,59086.9,101105.8,102208.16,125400.7,209585.61,,,-188626.78,328714.66,,,1996-03-01,NULL,1996
4/1/1996,212894.15,,125166.45,435322.24,206802.8,228519.44,166449.52,110370.02,56079.5,103580.82,109313.33,130816,218543.61,,,-216778.63,343710.15,,,1996-04-01,NULL,1996
5/1/1996,207906.71,,137261.62,412929.87,184747.04,228182.83,171043.68,108807.08,62236.6,102819.78,105086.94,130208.6,200853.79,,,-212076.08,338115.31,,,1996-05-01,NULL,1996
6/1/1996,213250.2,,122222.28,451252.74,216415.04,234837.7,170765.82,108282.42,62483.4,101502.12,111748.08,140761.3,231789.12,,,-219463.62,354011.5,,,1996-06-01,NULL,1996
7/1/1996,205875.77,,121212.48,443929.81,208923.58,235006.23,171828.66,109724.96,62103.7,102006.06,103869.71,138629.1,223292.38,,,-220637.43,344504.87,,,1996-07-01,NULL,1996
8/1/1996,210306.54,,124373.49,438426.24,193604.36,244821.88,165511.51,111987.31,53524.2,104530.81,105775.73,141707,227640.06,,,-210786.18,352013.54,,,1996-08-01,NULL,1996
9/1/1996,209306.59,,131925.55,431397.81,179417.38,251980.43,166489.07,110769.07,55720,103553.87,105752.72,142604.7,219985.74,,,-211412.07,351911.29,,,1996-09-01,NULL,1996
10/1/1996,209605.99,,131691.68,436168.32,177448.51,258719.81,164856.45,111485.95,53370.5,103834.15,105771.83,144445.8,222360.11,,,-213808.21,354051.79,,,1996-10-01,NULL,1996
11/1/1996,214446.37,,150715.14,423070.59,158734.44,264336.15,166917.38,115813.18,51104.2,108240.38,106205.99,148957.9,212689.14,,,-210381.45,363404.27,,,1996-11-01,NULL,1996
